Name,Year,Platform,Global_Sales
Splatoon,2015.0,WiiU,4.57
Super Mario Maker,2015.0,WiiU,3.18
Animal Crossing: Happy Home Designer,2015.0,3DS,2.98
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014.0,3DS,11.33
Super Smash Bros. for Wii U and 3DS,2014.0,3DS,7.45
Mario Kart 8,2014.0,WiiU,6.96
Super Smash Bros. for Wii U and 3DS,2014.0,WiiU,5.02
Monster Hunter 4 Ultimate,2014.0,3DS,3.89
Yokai Watch 2 Ganso/Honke,2014.0,3DS,3.22
Pokemon X/Pokemon Y,2013.0,3DS,14.35
Tomodachi Life,2013.0,3DS,5.15
Luigi's Mansion: Dark Moon,2013.0,3DS,4.58
Super Mario 3D World,2013.0,WiiU,4.25
The Legend of Zelda: A Link Between Worlds,2013.0,3DS,3.07
New Super Mario Bros. 2,2012.0,3DS,9.82
Animal Crossing: New Leaf,2012.0,3DS,9.09
Pokemon Black 2/Pokemon White 2,2012.0,DS,8.33
New Super Mario Bros. U,2012.0,WiiU,5.19
Nintendo Land,2012.0,WiiU,4.44
Mario Party 9,2012.0,Wii,3.32
Mario Kart 7,2011.0,3DS,12.21
Super Mario 3D Land,2011.0,3DS,10.79
The Legend of Zelda: Ocarina of Time,2011.0,3DS,4.21
The Legend of Zelda: Skyward Sword,2011.0,Wii,4.1
Nintendogs + cats,2011.0,3DS,3.81
Pokemon Black/Pokemon White,2010.0,DS,15.32
Wii Party,2010.0,Wii,8.49
Super Mario Galaxy 2,2010.0,Wii,7.69
Donkey Kong Country Returns,2010.0,Wii,6.59
