Year,Releases,Total_Sales
1980,1,4.31
1981,1,4.5
1982,1,7.81
1983,1,3.2
1984,3,36.48
1985,2,43.74
1986,2,9.59
1987,2,7.4
1988,4,34.19
1989,4,57.91
1990,4,31.99
1991,2,8.95
1992,7,45.33
1993,2,13.54
1994,6,28.5
1995,8,29.98
1996,12,94.76
1997,11,65.87
1998,13,73.97
1999,17,105.39
2000,14,56.5
2001,24,125.81
2002,24,118.61
2003,14,61.1
2004,16,112.9
2005,22,168.35
2006,22,241.66
2007,39,217.42
2008,31,187.45
2009,33,242.44
2010,31,209.67
2011,26,168.16
2012,22,136.71
2013,23,150.63
2014,28,141.42
2015,21,102.44
2016,3,12.58
N/A,4,14.89
